id;Nama;Age;Balanced;No 2b Thread-No;No 3 Thread-No;Previous Balanced;Average Balanced;No 1 Thread-No;Free Transfer;No 2a Thread-No
1;Liam;36;232.0;0;0;164.0;180.5;0;2;0
2;Noah;39;220.0;1;1;71.0;128.0;1;3;1
3;Oliver;51;88.0;2;2;81.0;79.5;2;4;2
4;Elijah;39;62.0;3;3;106.0;79.0;3;1;3
5;William;34;126.0;4;4;61.0;88.5;0;5;4
6;James;30;77.0;5;5;142.0;104.5;0;4;5
7;Benjamin;46;225.0;4;6;126.0;158.0;0;3;4
8;Lucas;24;130.0;5;7;191.0;155.5;0;5;5
9;Henry;37;217.0;4;1;104.0;143.0;0;4;4
10;Alexander;44;221.0;0;5;143.0;164.5;0;2;0
11;Mason;21;200.0;4;5;182.0;173.5;0;0;4
12;Michael;31;192.0;0;3;149.0;153.0;0;2;0
13;Ethan;41;120.0;4;7;180.0;145.0;0;5;4
14;Daniel;44;109.0;1;3;84.0;91.5;0;3;1
15;Jacob;28;86.0;4;6;181.0;128.5;0;1;4
16;Logan;21;85.0;2;1;173.0;124.0;0;2;2
17;Jackson;37;155.0;2;6;116.0;130.5;0;5;2
18;Levi;29;67.0;3;6;83.0;70.0;0;2;3
19;Sebastian;33;152.0;2;0;88.0;115.0;0;5;2
20;Mateo;47;231.0;2;6;200.0;198.0;0;3;2
21;Jack;37;195.0;3;6;119.0;139.5;0;3;3
22;Owen;43;65.0;2;4;65.0;60.0;0;4;2
23;Theodore;32;216.0;3;6;102.0;141.5;0;3;3
24;Aiden;50;128.0;3;5;128.0;123.0;0;5;3
25;Samuel;39;93.0;3;6;64.0;73.5;0;3;3
26;Joseph;52;193.0;3;6;123.0;140.5;0;1;3
27;John;49;223.0;3;2;104.0;146.0;0;4;3
28;David;47;134.0;5;6;139.0;131.5;0;5;5
29;Wyatt;40;94.0;0;6;119.0;101.5;0;2;0
30;Matthew;39;67.0;0;7;64.0;60.5;0;1;0
31;Luke;26;154.0;4;6;82.0;113.0;0;5;4
32;Asher;30;143.0;1;6;73.0;103.0;0;5;1
33;Carter;45;186.0;2;7;191.0;171.0;0;0;2
34;Julian;48;111.0;3;6;152.0;126.5;0;5;3
35;Grayson;31;130.0;5;3;150.0;135.0;0;5;5
36;Leo;34;215.0;0;6;175.0;177.5;0;1;0
37;Jayden;21;61.0;4;6;179.0;115.0;0;3;4
38;Gabriel;46;67.0;1;1;129.0;93.0;0;0;1
39;Isaac;45;142.0;2;0;82.0;107.0;0;5;2
40;Lincoln;24;145.0;3;1;152.0;143.5;0;5;3
